Custom Header,Domain Name,Resolved Ip
17210200,_apple-mobdev._tcp.local.,192.168.1.6
17210201,_apple-mobdev._tcp.local.,192.168.1.7
17210202,netflix.com.,192.168.1.8
17210203,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.9
17210204,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
17210205,linkedin.com.,192.168.1.6
17210206,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.7
17210207,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.8
17210208,example.com.,192.168.1.9
17210209,google.com.,192.168.1.10
17210210,_apple-mobdev._tcp.local.,192.168.1.6
17210211,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.7
17210212,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.8
17210213,facebook.com.,192.168.1.9
17210214,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
17210215,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.6
17210216,_apple-mobdev._tcp.local.,192.168.1.7
17210217,_apple-mobdev._tcp.local.,192.168.1.8
17210218,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.9
17210219,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
17210220,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.6
17210221,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.7
17210222,amazon.com.,192.168.1.8
